index;date;country;confirmed;confirmed_DR;confirmed_filtered;confirmed_filtered_DR
0;2020-01-22;China;547.0;;354.6000000000001;
1;2020-01-22;United States;1.0;;0.4;
2;2020-01-22;South Korea;1.0;;0.7999999999999997;
3;2020-01-23;South Korea;1.0;;1.2999999999999996;
4;2020-01-23;China;639.0;;733.5999999999999;
5;2020-01-23;United States;1.0;;1.2999999999999998;
6;2020-01-24;South Korea;2.0;2.666666666666667;1.7999999999999996;
7;2020-01-24;China;916.0;3.7976513098464326;1112.5999999999997;1.9356200527704501
8;2020-01-24;United States;2.0;2.666666666666667;2.1999999999999993;
9;2020-01-25;United States;2.0;3.333333333333335;2.999999999999999;
10;2020-01-25;China;1399.0;2.5912280701754398;1575.7999999999997;2.708778595741313
11;2020-01-25;South Korea;2.0;3.333333333333335;2.3999999999999995;
12;2020-01-26;United States;5.0;2.0000000000000004;3.799999999999999;
13;2020-01-26;South Korea;3.0;4.666666666666669;2.9999999999999996;
14;2020-01-26;China;2062.0;2.5462478184991277;2546.7999999999993;2.4335053223632235
15;2020-01-27;China;2863.0;2.879781420765028;3577.5999999999995;2.5644253505178676
16;2020-01-27;South Korea;4.0;3.000000000000001;3.3999999999999995;
17;2020-01-27;United States;5.0;2.666666666666668;4.6;
18;2020-01-27;Germany;1.0;;1.9999999999999984;
19;2020-01-28;South Korea;4.0;7.333333333333337;3.7999999999999994;
20;2020-01-28;China;5494.0;2.0238927738927743;4922.599999999999;3.0998681145999947
21;2020-01-28;United States;5.0;inf;5.399999999999999;
22;2020-01-28;Germany;4.0;;2.7999999999999985;
23;2020-01-29;United States;6.0;10.666666666666668;5.999999999999999;
24;2020-01-29;China;6070.0;2.9990645463049592;6466.799999999999;3.4535511560293513
25;2020-01-29;South Korea;4.0;inf;5.399999999999999;
26;2020-01-29;Germany;4.0;2.000000000000001;3.599999999999999;
27;2020-01-30;Germany;4.0;inf;4.999999999999999;
28;2020-01-30;South Korea;4.0;inf;6.999999999999998;
29;2020-01-30;China;8124.0;4.990621039290244;8268.399999999998;3.916910753780861
30;2020-01-30;United States;6.0;11.333333333333336;6.6;
31;2020-01-31;Germany;5.0;8.666666666666668;6.199999999999999;
32;2020-01-31;China;9783.0;4.305054313672683;10490.999999999996;4.179083213226648
33;2020-01-31;United States;8.0;6.66666666666667;7.199999999999999;
34;2020-01-31;South Korea;11.0;1.80952380952381;9.199999999999998;
35;2020-02-01;South Korea;12.0;2.2500000000000004;11.399999999999999;
36;2020-02-01;China;11871.0;5.298105150787297;13215.599999999999;4.308834626994394
37;2020-02-01;United States;8.0;7.333333333333337;8.2;
38;2020-02-01;Germany;8.0;2.833333333333335;7.799999999999998;
39;2020-02-02;Germany;10.0;3.066666666666668;9.399999999999999;
40;2020-02-02;China;16607.0;3.7378858929269247;16326.799999999996;4.573311856700596
41;2020-02-02;South Korea;15.0;6.333333333333335;13.799999999999997;
42;2020-02-02;United States;8.0;inf;9.199999999999998;
43;2020-02-03;Germany;12.0;5.000000000000001;10.799999999999997;
44;2020-02-03;South Korea;15.0;9.333333333333337;15.399999999999995;
45;2020-02-03;China;19693.0;4.105599590897469;19851.999999999996;4.961967331685856
46;2020-02-03;United States;11.0;6.000000000000001;9.799999999999997;
47;2020-02-04;Germany;12.0;11.333333333333336;11.599999999999998;
48;2020-02-04;United States;11.0;6.66666666666667;10.599999999999998;
49;2020-02-04;South Korea;16.0;30.666666666666675;17.599999999999994;
50;2020-02-04;China;23680.0;5.653423818276075;23588.399999999994;5.487055194447505
51;2020-02-05;South Korea;19.0;8.333333333333336;19.399999999999995;
52;2020-02-05;China;27409.0;6.115603939865219;27081.999999999993;6.502757030889817
53;2020-02-05;United States;11.0;inf;11.399999999999999;
54;2020-02-05;Germany;12.0;inf;12.199999999999998;
55;2020-02-06;South Korea;23.0;5.523809523809525;21.199999999999996;
56;2020-02-06;Germany;12.0;inf;12.399999999999999;
57;2020-02-06;United States;12.0;22.66666666666667;11.599999999999998;
58;2020-02-06;China;30553.0;7.919103739269605;30498.999999999993;7.830424758101085
59;2020-02-07;China;34075.0;9.204620462046208;33720.99999999999;9.168248230155141
60;2020-02-07;South Korea;24.0;8.800000000000002;22.999999999999996;
61;2020-02-07;Germany;13.0;24.666666666666675;12.799999999999997;
62;2020-02-07;United States;12.0;23.333333333333336;11.799999999999997;
63;2020-02-08;China;36778.0;10.860080321285144;36700.399999999994;10.849206093247757
64;2020-02-08;United States;12.0;inf;11.999999999999998;
65;2020-02-08;Germany;13.0;25.33333333333334;13.199999999999998;
66;2020-02-08;South Korea;24.0;47.33333333333336;24.599999999999994;
67;2020-02-09;Germany;14.0;26.666666666666675;13.999999999999996;
68;2020-02-09;United States;12.0;inf;12.199999999999998;
69;2020-02-09;South Korea;25.0;48.66666666666668;25.599999999999994;
70;2020-02-09;China;39790.0;12.906736657917767;39455.19999999999;12.774417820562016
71;2020-02-10;South Korea;27.0;16.88888888888889;26.399999999999995;
72;2020-02-10;United States;12.0;inf;12.399999999999999;
73;2020-02-10;China;42306.0;14.33598649300531;41579.99999999999;16.085416837445695
74;2020-02-10;Germany;14.0;27.33333333333334;14.599999999999996;
75;2020-02-11;China;44327.0;18.57659246197929;46190.79999999999;12.592394639428317
76;2020-02-11;Germany;16.0;14.66666666666667;15.199999999999996;
77;2020-02-11;South Korea;28.0;17.777777777777782;27.199999999999996;
78;2020-02-11;United States;13.0;24.666666666666675;12.799999999999997;
79;2020-02-12;South Korea;28.0;55.33333333333336;27.799999999999997;
80;2020-02-12;Germany;16.0;15.333333333333337;15.599999999999996;
81;2020-02-12;United States;13.0;25.33333333333334;13.199999999999998;
82;2020-02-12;China;44699.0;36.5878256024516;51491.19999999999;9.367315091344475
83;2020-02-13;United States;14.0;26.666666666666675;13.599999999999998;
84;2020-02-13;China;59832.0;6.400429968827261;56699.399999999994;9.793971921410398
85;2020-02-13;Germany;16.0;inf;15.999999999999996;
86;2020-02-13;South Korea;28.0;inf;27.999999999999993;
87;2020-02-14;South Korea;28.0;inf;28.199999999999996;
88;2020-02-14;Germany;16.0;inf;15.999999999999996;
89;2020-02-14;China;66292.0;5.27402398925578;61923.19999999999;10.871280674846627
90;2020-02-14;United States;14.0;27.33333333333334;13.799999999999997;
91;2020-02-15;United States;14.0;inf;13.999999999999996;
92;2020-02-15;Germany;16.0;inf;15.999999999999996;
93;2020-02-15;China;68347.0;15.225758465453127;67456.19999999998;11.53247558133771
94;2020-02-15;South Korea;28.0;inf;28.599999999999994;
95;2020-02-16;United States;14.0;inf;13.999999999999996;
